Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Device Model,Product Title,Product ID,Product Type,SKU ID,Currency of Sale,Item Price,Taxes Collected,Charged Amount,City of Buyer,State of Buyer,Postal Code of Buyer,Country of Buyer
GPA.3378-4389-5417-83062,2018-08-01,1533081811,Charged,ASUS_X00IDC,1400 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.19.99,VND,"450,000.00",0.00,"450,000.00",Tuy Hòa,PHÚ YÊN,,VN
GPA.3379-3884-4570-46439,2018-08-01,1533082013,Charged,starqltesq,100 diamonds (Final Kingdoms: Darkgold Descends!),com.rghg.sgzmjzhdny,inapp,com.rghg.sgzmjzhdnyanew1,USD,0.99,0.00,0.99,UNINCORPORATED,TX,79250,US
GPA.3343-3392-3873-47829,2018-08-01,1533082152,Charged,star2qltesq,100 diamonds (Final Kingdoms: Darkgold Descends!),com.rghg.sgzmjzhdny,inapp,com.rghg.sgzmjzhdnyanew1,USD,0.99,0.00,0.99,EOLIA,MO,63344,US
GPA.3382-6883-2629-51117,2018-08-01,1533082188,Charged,j7velte,Special Package (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.sp1,BRL,24.99,0.00,24.99,Angra dos Reis,RJ,26022470,BR
GPA.3343-6975-5691-13445,2018-08-01,1533082196,Charged,ASUS_X00IDC,1400 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.19.99,VND,"450,000.00",0.00,"450,000.00",Tuy Hòa,PHÚ YÊN,,VN
GPA.3383-5020-5483-46821,2018-08-01,1533082270,Charged,dreamlte,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,AUD,1.17,0.12,1.29,,,2132,AU
GPA.3367-6067-7802-71308,2018-08-01,1533082276,Charged,dreamqltecan,3500 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.49.99,CAD,67.99,0.00,67.99,Mascouche,QC,J7K 0B2,CA
GPA.3370-4993-3509-89658,2018-08-01,1533082301,Charged,star2qltesq,310 diamonds (Final Kingdoms: Darkgold Descends!),com.rghg.sgzmjzhdny,inapp,com.rghg.sgzmjzhdnyanew3,USD,2.99,0.00,2.99,EOLIA,MO,63344,US
GPA.3350-2460-5293-36080,2018-08-01,1533082415,Charged,A37f,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,PHP,50.00,0.00,50.00,,,6538,PH
GPA.3393-2003-3148-39612,2018-08-01,1533082596,Charged,athene_f,700 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.9.99,THB,300.00,0.00,300.00,Samutprakarn,,,TH
GPA.3332-9008-0073-69914,2018-08-01,1533082656,Charged,a5y17lte,280 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.3.99,TRY,12.70,2.29,14.99,DÜZCE,MERKEZ,81100,TR
GPA.3305-5877-5567-56468,2018-08-01,1533082766,Charged,1601,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,VND,"23,000.00",0.00,"23,000.00",Hà nội,HÀ NỘI,100000,VN
GPA.3336-8433-0211-39276,2018-08-01,1533082809,Charged,HWEML,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,THB,34.00,0.00,34.00,ลาดกระบัง,กรุงเทพมหานคร,10520,TH
GPA.3354-4243-5516-91418,2018-08-01,1533083064,Charged,a5y17lte,700 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.9.99,TRY,32.19,5.80,37.99,DÜZCE,MERKEZ,81100,TR
GPA.3322-4650-5237-09737,2018-08-01,1533083200,Charged,HWDUK,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,MYR,4.49,0.00,4.49,,,75150,MY
GPA.3330-7735-4515-94614,2018-08-01,1533083209,Charged,HWNXT,830 diamonds (Final Kingdoms: Darkgold Descends!),com.rghg.sgzmjzhdny,inapp,com.rghg.sgzmjzhdnyanew5,MYR,33.99,0.00,33.99,Johor,JOHOR,81100,MY
GPA.3340-1190-1232-65394,2018-08-01,1533083232,Charged,HWMYA-L6737,700 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.9.99,EUR,7.97,1.52,9.49,,,,DE
